ID,成品面料内部编号,基础面料编号,颜色内部编号,修图参考图链接地址,html????
10141,2L279_NBL,2L279,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250226145456.jpg,#19192D
8724,2L279_WT,2L279,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250717112327.jpg,#EBEBEB
8496,2SL149_BK,2SL149,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240228191555.png,#5F6987
9873,2SL149_DGB,2SL149,DGB,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250113170451.jpeg,#415F7D
9873,2SL149_DGB,2SL149,DGB,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250113170451.jpeg,#415F7D
8566,2SL149_NBL,2SL149,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20251119164525.jpg,#192337
8566,2SL149_NBL,2SL149,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20251119164525.jpg,#192337
8570,2SL149_SGN,2SL149,SGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240513175430.jpg,#A5C3B9
8570,2SL149_SGN,2SL149,SGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240513175430.jpg,#A5C3B9
8571,2SL149_SPK,2SL149,SPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240517164003.png,#FFCDC3
8571,2SL149_SPK,2SL149,SPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240517164003.png,#FFCDC3
8535,2SL149_WT,2SL149,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240507140618.jpg,#E1E1D7
8535,2SL149_WT,2SL149,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240507140618.jpg,#E1E1D7
11405,40DJWS_DBR,40DJWS,DBR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20260304113245.jpg,#372319
11406,40DJWS_JRD,40DJWS,JRD,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20260304114137.jpg,#410519
11301,40DJWS_LAGN,40DJWS,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20260206113023.jpg,#374123
7392,40DTLW_BK,40DTLW,BK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240228173914.png,#4B4B4B
7390,40DTLW_WT,40DTLW,WT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240228173848.png,#AFAFAF
5534,40DWS_BGN,40DWS,BGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240829180355.jpg,#234B5F
